LOC105378581	hgnc:50701	LINC01409
LOC129124	hgnc:6915	MB
RN5S193	hgnc:43093	RNA5SP193
LOC440199	hgnc:14575	MEG3
PRO0518	hgnc:14575	MEG3
GMCL1L	hgnc:19717	GMCL2
GMCL1P1	hgnc:19717	GMCL2
LOC100462770	hgnc:16588	ENSAP1
ENSAP	hgnc:16588	ENSAP1
LOC82374	hgnc:8605	PARG
LOC95267	hgnc:8605	PARG
LOC727726	hgnc:8605	PARG
LOC439974	hgnc:8605	PARG
RBM32A	hgnc:27989	PABPC1L2A
LOC340155	hgnc:6119	IRF4
LOC154397	hgnc:6119	IRF4
LOC135462	hgnc:6119	IRF4
LOC221773	hgnc:6119	IRF4
MUM1	hgnc:29641	PWWP3A
LOC105377195	hgnc:9977	RFPL1
LOC91366	hgnc:9977	RFPL1
DFNA2	hgnc:4285	GJB3
DKFZp547D155	hgnc:2310	CPLX2
CECR5	hgnc:1843	HDHD5
FLJ20454	hgnc:1843	HDHD5
LINC00346	hgnc:27492	PRECSIT
C13orf29	hgnc:27492	PRECSIT
NCRNA00346	hgnc:27492	PRECSIT
LOC100422617	hgnc:30678	TAF9P3
LOC246141	hgnc:30678	TAF9P3
IGKDE	hgnc:5717	IGKDEL
LOC101929847	hgnc:49516	GOLGA2P7
LOC727994	hgnc:49516	GOLGA2P7
LINC00444	hgnc:11448	SUCLA2
LOC51331	hgnc:8769	MRPS30
PDCD9	hgnc:8769	MRPS30
CENTB2	hgnc:16469	ACAP2
LOC730660	hgnc:48943	LINC00992
LOC100422673	hgnc:19938	YWHAZP1
YWHAZP	hgnc:19938	YWHAZP1
WBSCR19	hgnc:16408	SPDYE1
LOC115015	hgnc:14220	SERPINB12
LOC93065	hgnc:23505	BMS1
BMS1L	hgnc:23505	BMS1
LOC82848	hgnc:23505	BMS1
C10orf32-ASMT	hgnc:49183	BORCS7-ASMT
RN5S436	hgnc:43336	RNA5SP436
ERCM2	hgnc:3437	ERCC5
XPGC	hgnc:3437	ERCC5
PSORS2	hgnc:16446	CARD14
CHK	hgnc:1937	CHKA
MIRN29	hgnc:31616	MIR29A
MIRN29A	hgnc:31616	MIR29A
HOS	hgnc:11604	TBX5
C1orf138	hgnc:32041	ADAMTSL4-AS1
C1orf227	hgnc:33709	SPATA45
LOC100293586	hgnc:48848	NDUFA5P6
LOC128858	hgnc:6890	MAPRE1
TMEM55A	hgnc:25452	PIP4P2
FRCL1	hgnc:15621	SLC35D3
D21S58	hgnc:5965	IL10RB
CRFB4	hgnc:5965	IL10RB
D21S66	hgnc:5965	IL10RB
AKR1B1P5	hgnc:20002	AKR1B1P5
AKR1B1P	hgnc:20002	AKR1B1P5
LOC100422435	hgnc:20002	AKR1B1P5
EEF1A1P10	hgnc:3205	EEF1A1P10
EEF1AL8	hgnc:3205	EEF1A1P10
LOC100510005	hgnc:3205	EEF1A1P10
LOC731951	hgnc:53394	LINC02458
NADKD1-AS1	hgnc:41143	NADK2-AS1
CHC1L	hgnc:1914	RCBTB2
SNX19P	hgnc:16765	SNX19P1
LOC100419044	hgnc:16765	SNX19P1
OR5J6P	hgnc:31288	OR9S24P
LOC730676	hgnc:12851	YWHAE
LOC727845	hgnc:12851	YWHAE
RBM22P8	hgnc:39704	RBM22P11
IGHV1-F	hgnc:5562	IGHV1-69-2
RNU69	hgnc:10226	SNORA69
CADASIL	hgnc:7883	NOTCH3
PRKRIRP9	hgnc:39573	THAP12P9
LOC113574	hgnc:30142	GDF15
LOC100292463	hgnc:30142	GDF15
LOC100293734	hgnc:43842	LINC00582
LOC100290864	hgnc:43842	LINC00582
LOC100293832	ncbigene:100286997	LOC100286997
LOC100290033	ncbigene:100286997	LOC100286997
TNRC6C-AS1	hgnc:18021	TMC6
EVER1	hgnc:18021	TMC6
EV1	hgnc:18021	TMC6
LOC101060729	hgnc:20922	SLX1A
GIYD1	hgnc:20922	SLX1A
LOC101929864	hgnc:20922	SLX1A
C3orf77	hgnc:24746	TOPAZ1
MIRN1267	hgnc:35335	MIR1267
LOC100294326	ncbigene:728811	LOC728811
LOC83257	hgnc:23924	TSPY2
LOC159146	hgnc:23924	TSPY2
LOC220904	hgnc:23924	TSPY2
LOC96302	hgnc:23924	TSPY2
LOC96188	hgnc:10293	RPE
MTTI	hgnc:7488	MT-TI
LOC653228	hgnc:28016	ANKRD18DP
LOC653917	hgnc:28016	ANKRD18DP
ACPL2	hgnc:26303	PXYLP1
LOC112443	hgnc:8684	PCDHB13
LOC115663	hgnc:8684	PCDHB13
LOC91491	hgnc:8684	PCDHB13
LOC102724886	ncbigene:102724751	LOC102724751
WNK3	hgnc:14543	WNK3
PRKWNK3	hgnc:14543	WNK3
FAM74A7	hgnc:34037	FAM74A7
BHLHB3	hgnc:16617	BHLHE41
RPS4P15	hgnc:36308	RPS4XP15
LOC100420444	hgnc:36308	RPS4XP15
LOC253981	hgnc:27379	RELL1
LOC647951	hgnc:33377	KRT8P25
LOC102723801	hgnc:51655	MCPH1-AS1
LOC100131112	hgnc:51655	MCPH1-AS1
LOC100132301	hgnc:51655	MCPH1-AS1
CDC37L1-AS1	hgnc:49735	CDC37L1-DT
SNF2L	hgnc:11097	SMARCA1
SNF2L1	hgnc:11097	SMARCA1
LOC101060523	hgnc:50293	GAS2L1P1
TRH-GTG1-5	hgnc:34536	TRH-GTG1-7
TRNAH1	hgnc:34536	TRH-GTG1-7
LOC650153	hgnc:39526	CNN2P1
LOC654032	hgnc:27334	INTS6L
LOC653304	hgnc:27334	INTS6L
DDX26B	hgnc:27334	INTS6L
RN5S148	hgnc:43048	RNA5SP148
FIMG1	ncbigene:8144	CMS1A1
RPL23AP57	hgnc:36971	RPL23AP57
MIRN1293	hgnc:35286	MIR1293
LOC100419100	hgnc:3717	FKBP1AP4
LOC646886	hgnc:3717	FKBP1AP4
LOC651786	hgnc:3717	FKBP1AP4
FKBP1P4	hgnc:3717	FKBP1AP4
PIK3C1	hgnc:8976	PIK3CB
LOC96645	hgnc:24878	TMED9
LOC202346	hgnc:24878	TMED9
LOC100134316	hgnc:7513	MUC3A
MUC3	hgnc:7513	MUC3A
LOC100509994	hgnc:7513	MUC3A
LOC101060740	hgnc:7513	MUC3A
LOC100509522	hgnc:7513	MUC3A
LOC732156	hgnc:7513	MUC3A
LOC102725120	hgnc:7513	MUC3A
LOC100419766	hgnc:10835	SH3GL1P1
SH3GLP1	hgnc:10835	SH3GL1P1
PTPRZ	hgnc:9685	PTPRZ1
PTPZ	hgnc:9685	PTPRZ1
ADRA2RL2	hgnc:283	ADRA2C
ADRA2L2	hgnc:283	ADRA2C
SDPR	hgnc:10690	CAVIN2
OR10U1P	hgnc:15332	OR10U1P
LOC100510708	hgnc:2692	DBIP1
DBIL2	hgnc:2692	DBIP1
LOC100462884	hgnc:2692	DBIP1
MAGE11	hgnc:6798	MAGEA11
LOC100419340	hgnc:39581	RPS6P23
LOC651769	hgnc:15371	OR11K1P
LOC100288919	hgnc:15371	OR11K1P
C4orf9	hgnc:16821	NOP14
NOL14	hgnc:16821	NOP14
LOC101060643	hgnc:42348	TUBB8P10
LOC170293	hgnc:18145	PHF6
PHF6	hgnc:18145	PHF6
KIAA1823	hgnc:18145	PHF6
LOC220901	hgnc:18145	PHF6
BORJ	hgnc:18145	PHF6
BFLS	hgnc:18145	PHF6
LOC139505	hgnc:18145	PHF6
LOC100294055	hgnc:49833	SNRPCP18
OACT2	hgnc:25193	MBOAT2
OFD1P4	hgnc:23876	OFD1P4Y
OFDYP4	hgnc:23876	OFD1P4Y
OFD1PY4	hgnc:23876	OFD1P4Y
IGHV1OR15-5	hgnc:38040	IGHV1OR21-1
LOC286100	hgnc:33826	C8orf82
TRNAL8	hgnc:34597	TRL-CAA3-1
CBD	hgnc:4206	OPN1MW
GCP	hgnc:4206	OPN1MW
CBBM	hgnc:9936	OPN1LW
LOC100419290	hgnc:36496	RPS6P18
KIAA0230	hgnc:14966	PXDN
SPD	hgnc:5136	HOXD13
HOX4I	hgnc:5136	HOXD13
BDE	hgnc:5136	HOXD13
KIAA0759	hgnc:19961	ANGEL1
HMGN2P	hgnc:19930	HMGN2P1
HMGN2L1	hgnc:19930	HMGN2P1
LOC100422164	hgnc:8385	OR7E14P
LOC441453	hgnc:8385	OR7E14P
OR7E151P	hgnc:8385	OR7E14P
CAGB	hgnc:10499	S100A9
CFAG	hgnc:10498	S100A8
C12orf5	hgnc:1185	TIGAR
TRNAD10	hgnc:34770	TRD-GTC1-1
LOC649682	hgnc:36995	RPL31P17
LOC100293101	hgnc:42970	ERVMER34-1
LOC100290734	hgnc:42970	ERVMER34-1
FLJ12684	hgnc:42970	ERVMER34-1
LOC100131558	hgnc:12384	TSSC2
TSSC2	hgnc:12384	TSSC2
TRNAE30P	hgnc:35028	TRE-TTC7-1
LOC648190	hgnc:54674	ACER2P1
PTCHD2	hgnc:29251	DISP3
MGC9913	hgnc:44321	ZNF667-AS1
FAM71E1	hgnc:25107	GARIN5A
LOC100422701	hgnc:8589	PAICSP2
PAICSP2	hgnc:8589	PAICSP2
C20orf60	hgnc:16193	HSPA12B
LOC100507255	hgnc:13853	ZKSCAN3
ZNF309	hgnc:13853	ZKSCAN3
ZNF306	hgnc:13853	ZKSCAN3
LOC95379	hgnc:13853	ZKSCAN3
PTPRL1	hgnc:9675	PTPRM
C9orf12	hgnc:14645	IPPK
LOC649311	hgnc:55414	ISL1-DT
RN5S45	hgnc:42821	RNA5SP45
MIRN943	hgnc:33689	MIR943
LOC649488	hgnc:37239	PIRT
LOC116230	hgnc:20954	VTA1
C6orf55	hgnc:20954	VTA1
LOC92752	hgnc:20954	VTA1
IL28RA	hgnc:18584	IFNLR1
SEDLP	hgnc:10710	TRAPPC2B
LOC51587	hgnc:10710	TRAPPC2B
TRAPPC2P1	hgnc:10710	TRAPPC2B
M17S1	hgnc:3758	FLOT2
LOC159201	hgnc:19321	NKX6-2
LOC649178	hgnc:43889	PRELID1P4
FAM73A	hgnc:24741	MIGA1
PDCR	hgnc:2754	DECR2
MGC26707	hgnc:28382	ZNF555
MRPS16	hgnc:14048	MRPS16
RNU6-15	hgnc:34259	RNU6-15P
LOC90719	hgnc:33785	TMEM200B
LOC442332	hgnc:37902	EEF1A1P28
LOC100421830	hgnc:37902	EEF1A1P28
LOC116046	hgnc:24967	MIS12
MGC849	hgnc:23789	CINP
TRNAA15	hgnc:34676	TRA-TGC2-1
DLX9	hgnc:2917	DLX4
DLX7	hgnc:2917	DLX4
MGC5499	hgnc:19089	SLC30A5
RHEB2	hgnc:10011	RHEB
RNU19	hgnc:10119	SNORA74A
LOR	hgnc:6663	LORICRIN
LOC100419663	hgnc:19803	RPL15P2
CKMT	hgnc:1995	CKMT1B
CKMT1	hgnc:31736	CKMT1A
C4B	hgnc:1324	C4B
LOC113781	hgnc:1324	C4B
LOC220819	hgnc:1324	C4B
LOC100507685	hgnc:1324	C4B
OR5W2	hgnc:15299	OR5W2
OR5W2P	hgnc:15299	OR5W2
OR5W3P	hgnc:15299	OR5W2
C7orf30	hgnc:21721	MALSU1
TCEA1P2	hgnc:29891	TCEA1P2
C15orf22	hgnc:28889	TMED3
KNS2	hgnc:6387	KLC1
LOC100421888	hgnc:13967	OR2B7P
PNMA6D	hgnc:26681	PNMA6B
PNMA6B	hgnc:26681	PNMA6B
MIRN1247	hgnc:35313	MIR1247
MEKK5	hgnc:6857	MAP3K5
LOC648263	hgnc:43752	DPPA5P1
TUSC4	hgnc:24969	NPRL2
PQLC1	hgnc:26188	SLC66A2
LOC51223	hgnc:11878	TMPRSS4
LOC95183	hgnc:13389	NID2
NAT5	hgnc:15908	NAA20
OR1H1	hgnc:8206	OR1H1P
AIP4	hgnc:13890	ITCH
DFNB67	hgnc:21253	LHFPL5
LHFPL5	hgnc:21253	LHFPL5
C5orf20	hgnc:24459	DCANP1
LOC347385	hgnc:8074	NXF4
LOC401610	hgnc:8074	NXF4
PRKAA	hgnc:9377	PRKAA2
LOC100131323	hgnc:35837	RPL5P30
LOC100419317	hgnc:35837	RPL5P30
LOC649877	hgnc:35837	RPL5P30
LOC82016	hgnc:42377	HNRNPKP4
LOC643078	hgnc:42377	HNRNPKP4
LOC647615	hgnc:42377	HNRNPKP4
LOC92741	hgnc:42377	HNRNPKP4
PDHAL	hgnc:8807	PDHA2
FLJ23754	hgnc:27564	CCDC57
KIAA0612	hgnc:16831	TSPOAP1
BZRAP1	hgnc:16831	TSPOAP1
ITGA4L	hgnc:6145	ITGA9
LOC100128651	hgnc:33766	C4orf50
LOC105374380	hgnc:33766	C4orf50
LOC100420796	ncbigene:646666	LOC646666
MDC2	hgnc:201	ADAM22
GLUR3	hgnc:4573	GRIA3
KIAA0284	hgnc:20362	CEP170B
CYCL	hgnc:1845	CECR7
CECR7	hgnc:1845	CECR7
LOC440787	hgnc:1845	CECR7
NHE2	hgnc:11072	SLC9A2
GPR103	hgnc:15565	QRFPR
LEPREL1-AS1	hgnc:40886	P3H2-AS1
HNRPCL1	hgnc:29295	HNRNPCL1
PRGS	hgnc:4163	GART
PGFT	hgnc:4163	GART
LOC647907	hgnc:39339	DNAJA1P3
PPR	ncbigene:100528023	PPR1
LOC101927714	hgnc:2079	CLN8
EPMR	hgnc:2079	CLN8
C8orf61	hgnc:2079	CLN8
MTCSB2	hgnc:7425	MT-CSB2
C15orf2	hgnc:1190	NPAP1
C1orf173	hgnc:25346	ERICH3
LINC02170	hgnc:53032	ARLNC1
LOC642196	hgnc:12226	TRBV6-1
LOC82644	hgnc:10344	RPL35
LOC92393	hgnc:10344	RPL35
AMICA1	hgnc:19084	JAML
MAST4-AS1	hgnc:40865	MAST4-AS1
SMCR2	hgnc:17914	SMCR2
MIRN487A	hgnc:32343	MIR487A
MIRN487	hgnc:32343	MIR487A
LOC100508007	hgnc:44302	LINC00648
ANKRD26L1	hgnc:28169	ANKRD36BP1
ANKRD36BL1	hgnc:28169	ANKRD36BP1
C11orf36	hgnc:26691	MRGPRG-AS1
NKX6A	hgnc:7839	NKX6-1
FABP5L13	hgnc:38717	FABP5P13
ADSSL1	hgnc:20093	ADSS1
LOC105376930	ncbigene:102723512	LOC102723512
STK13	hgnc:11391	AURKC
MSS	hgnc:24624	SIL1
KIAA1429	hgnc:24500	VIRMA
LOC390668	hgnc:27289	EME2
LOC653456	hgnc:25392	ZNF568
LOC654171	hgnc:25392	ZNF568
LOC100508266	hgnc:25392	ZNF568
LOC100291520	hgnc:25392	ZNF568
LOC126167	hgnc:25392	ZNF568
LOC400691	hgnc:25392	ZNF568
LOC100291570	hgnc:25392	ZNF568
LOC654138	hgnc:25392	ZNF568
LOC653284	hgnc:25392	ZNF568
LOC100289218	hgnc:25392	ZNF568
LOC120669	hgnc:24978	PLAAT5
HRASLS5	hgnc:24978	PLAAT5
LOC95832	hgnc:20332	UPF3A
LOC85658	hgnc:20332	UPF3A
MGC23445	hgnc:27310	FLCN
BHD	hgnc:27310	FLCN
LOC100129676	hgnc:27310	FLCN
PHIP	hgnc:15673	PHIP
WDR11	hgnc:13831	WDR11
RN5S185	hgnc:43085	RNA5SP185
CCDC123	hgnc:25907	CEP89
LOC100419407	hgnc:21663	RPL15P4
RPL15P4	hgnc:21663	RPL15P4
MGC3413	hgnc:29456	TOR1AIP1
NCRNA00278	hgnc:38712	LINC00278
FLJ36335	hgnc:12560	UMODL1
RN5S366	hgnc:43266	RNA5SP366
RNF144	hgnc:20457	RNF144A
FTZF1	hgnc:7983	NR5A1
CRYA1	hgnc:2388	CRYAA
C1orf38	hgnc:16839	THEMIS2
LOC642019	hgnc:13962	NOP56P1
LOC642051	hgnc:13962	NOP56P1
LOC651388	hgnc:13962	NOP56P1
NOL5B	hgnc:13962	NOP56P1
NOL5BP	hgnc:13962	NOP56P1
DKFZP564A043	hgnc:8065	NUP50
NPAP60L	hgnc:8065	NUP50
LOC100508642	hgnc:53363	LINC02432
LOC653466	ncbigene:401589	LOC401589
LOC349420	ncbigene:401589	LOC401589
LOC256106	ncbigene:401589	LOC401589
FAM33A	hgnc:28006	SKA2
CLECSF6	hgnc:13257	CLEC4A
TRNAD3	hgnc:34620	TRD-GTC5-1
SCYA3L1	hgnc:10628	CCL3L1
LOC730422	hgnc:10628	CCL3L1
SCYA3L	hgnc:10628	CCL3L1
LOC643930	hgnc:10628	CCL3L1
D17S1718	hgnc:10628	CCL3L1
MGC12815	hgnc:10628	CCL3L1
LOC100508422	hgnc:48719	MAMDC2-AS1
LOC100996829	hgnc:37665	ATP5F1AP7
ATP5A1P9	hgnc:37665	ATP5F1AP7
ATP5A1P7	hgnc:37665	ATP5F1AP7
LOC100508889	ncbigene:100507562	LOC100507562
LOC127282	hgnc:11912	TNFRSF14
LOC100131742	hgnc:11912	TNFRSF14
LOC93208	hgnc:11912	TNFRSF14
LOC115113	hgnc:11912	TNFRSF14
LOC82620	hgnc:11912	TNFRSF14
LOC113123	hgnc:11912	TNFRSF14
FOXD4L3	hgnc:18523	FOXD4L3
AUTL2	hgnc:16489	ATG4A
APG4A	hgnc:16489	ATG4A
PDZK8	hgnc:26974	PDZD8
HPE2	hgnc:10889	SIX3
H2AFV	hgnc:20664	H2AZ2
H2AV	hgnc:20664	H2AZ2
C14orf154	hgnc:20493	SETD3
LOC730228	hgnc:20493	SETD3
C9orf171	hgnc:33776	CFAP77
LOC89959	hgnc:21290	PTCRA
C3orf30	hgnc:26553	TEX55
KCTD9P1	hgnc:21428	KCTD9P1
LOC374631	hgnc:27522	LINC00927
LOC388144	hgnc:27522	LINC00927
RASL7B	hgnc:688	RHOJ
ARHJ	hgnc:688	RHOJ
LOC651625	hgnc:36846	RPL5P10
LOC100419176	hgnc:36846	RPL5P10
RN5S95	hgnc:42893	RNA5SP95
FABP5P1	hgnc:19328	FABP5P11
FABP5L11	hgnc:19328	FABP5P11
SCYA2	hgnc:10618	CCL2
FLJ13986	hgnc:13593	FBXO22
LOC100420747	hgnc:18980	MAPK6P1
MAPK6PS1	hgnc:18980	MAPK6P1
FDPSP	hgnc:3637	FDPSP6
LOC100422722	hgnc:3637	FDPSP6
LOC128306	hgnc:652	ARF1
LOC100125918	hgnc:28143	TMEM177
HPVE6A	hgnc:12496	UBE3A
EPVE6AP	hgnc:12496	UBE3A
JMJD2C	hgnc:17071	KDM4C
LOC82756	hgnc:1553	CBX3
HECH	hgnc:1553	CBX3
LOC100293099	ncbigene:100289361	LOC100289361
LOC100291408	ncbigene:100289361	LOC100289361
RN7SLP3	hgnc:10041	RN7SL6P
RN7SL848P	hgnc:10041	RN7SL6P
TM4SF16	hgnc:30725	TSPAN16
LOC88787	hgnc:30725	TSPAN16
LOC82132	hgnc:30725	TSPAN16
LOC115972	hgnc:6126	IRS2
LOC90066	hgnc:6126	IRS2
LOC113071	hgnc:6126	IRS2
LOC732257	hgnc:32550	ZBTB42
ZBTB42	hgnc:32550	ZBTB42
LOC730267	hgnc:32550	ZBTB42
LOC100422355	hgnc:8963	PIGFP1
LOC100419561	hgnc:16583	RPL15P1
MGC16131	hgnc:14446	PARD3B
LOC105373846	hgnc:14446	PARD3B
ALS2CR19	hgnc:14446	PARD3B
LOC105369862	ncbigene:105369863	LOC105369863
ANKRD3	hgnc:496	RIPK4
FAM154A	hgnc:28566	SAXO1
C9orf138	hgnc:28566	SAXO1
GRL	hgnc:7978	NR3C1
LOC113279	hgnc:4881	HEY2
RN5S38	hgnc:42614	RNA5SP38
LOC100510716	hgnc:55345	RPH3AL-AS1
LOC100420744	hgnc:29783	MRPS7P1
TRNAQ38P	hgnc:35033	NMTRQ-CTG1-1
LOC374427	hgnc:25061	HOATZ
C11orf88	hgnc:25061	HOATZ
LOC650447	ncbigene:341056	LOC341056
LOC104940763	ncbigene:105371267	LOC105371267
OR13H1	hgnc:14755	OR13H1
LOC441617	hgnc:44159	TPBGL
GSCL	hgnc:4613	GSC2
NKX2H	hgnc:16364	NKX2-8
LOC113532	hgnc:15813	PCDH11Y
PCDH22	hgnc:15813	PCDH11Y
LOC349451	hgnc:15813	PCDH11Y
TDE2	hgnc:13464	SERINC1
LOC107985741	ncbigene:105378726	LOC105378726
LOC653796	hgnc:6079	INPP5D
LOC105373216	hgnc:6351	KLF8
LOC199739	hgnc:53435	MBD3L2B
LOC100508136	hgnc:53435	MBD3L2B
MEF2AP	hgnc:6994	MEF2AP1
LOC100420093	hgnc:6994	MEF2AP1
C21orf126	hgnc:23756	ANKRD20A18P
FLJ31101	hgnc:19305	SLC30A6
LOC100419331	ncbigene:100431175	LOC100431175
KIAA1500	hgnc:19185	FRAS1
FLJ14927	hgnc:19185	FRAS1
FRAS1	hgnc:19185	FRAS1
FAM108A11P	hgnc:28394	ABHD17AP1
ABHD17AP2	hgnc:28394	ABHD17AP1
FAM108A2	hgnc:28394	ABHD17AP1
LOC653438	hgnc:28394	ABHD17AP1
FAM108A3P	hgnc:28394	ABHD17AP1
FAM108A3	hgnc:28394	ABHD17AP1
IGHV3OR16-8	hgnc:5643	IGHV3OR16-8
C6orf88	hgnc:48828	CICP18
NCRNA00266-3	hgnc:48828	CICP18
NCRNA00266C	hgnc:48828	CICP18
LOC100506283	hgnc:48828	CICP18
SEPT14P6	hgnc:48828	CICP18
LOC100288119	hgnc:48828	CICP18
LINC00266-3	hgnc:48828	CICP18
MIRN612	hgnc:32868	MIR612
LOC100422543	hgnc:43728	VTI1BP2
LOC136697	ncbigene:442293	LOC442293
LOC100422322	ncbigene:442293	LOC442293
LOC222117	ncbigene:442293	LOC442293
LOC649792	ncbigene:442293	LOC442293
FAM75D4	hgnc:38601	SPATA31D4
LOC221427	hgnc:13578	ZNF318
LOC202485	hgnc:13578	ZNF318
IGK@	hgnc:5715	IGK
LOC389708	hgnc:31010	TUSC1
C1orf68	hgnc:29468	C1orf68
LOC102723666	hgnc:42440	MYLK-AS1
LOC101927028	hgnc:42440	MYLK-AS1
LOC199828	hgnc:1662	CD34
LOC731144	ncbigene:729870	LOC729870
TXNL5	hgnc:28218	TXNDC17
LOC116042	hgnc:28218	TXNDC17
NMDARA1	hgnc:4589	GRINA
LOC652465	hgnc:52332	NMRAL2P
NMRAL1P1	hgnc:52332	NMRAL2P
DM1	hgnc:2933	DMPK
DM	hgnc:2933	DMPK
DMPK	hgnc:2933	DMPK
GCPS	hgnc:4319	GLI3
PHS	hgnc:4319	GLI3
PSORS5	ncbigene:63870	PSORS5
THC	hgnc:12731	WAS
IMD2	hgnc:12731	WAS
NTN2L	hgnc:8030	NTN3
LOC144065	hgnc:26487	VWCE
MIRN143	hgnc:31530	MIR143
TRNAY17P	hgnc:35082	TRY-GTA11-1
LOC728910	hgnc:34447	LGALS7B
LOC654184	hgnc:34447	LGALS7B
LOC732032	hgnc:34447	LGALS7B
LOC113028	hgnc:8955	SERPINB9
PI9	hgnc:8955	SERPINB9
LOC116279	hgnc:8955	SERPINB9
LMO5	hgnc:2470	CSRP2
LOC112734	hgnc:3788	FOLH1
FOLH	hgnc:3788	FOLH1
LOC93212	hgnc:3788	FOLH1
TRNAR30P	hgnc:35013	TRR-CCT7-1
LOC100291472	hgnc:38527	TTTY27P
LOC100292053	hgnc:38527	TTTY27P
MIRN1261	hgnc:35327	MIR1261
LOC100419804	hgnc:30608	SONP1
LOC100292706	ncbigene:100288542	LOC100288542
BPNT2P	hgnc:54752	BPNT2P1
SHFM3	hgnc:10847	FBXW4
C16orf16	hgnc:26960	WDR90
KIAA1924	hgnc:26960	WDR90
C16orf17	hgnc:26960	WDR90
C16orf15	hgnc:26960	WDR90
C16orf19	hgnc:26960	WDR90
LOC197336	hgnc:26960	WDR90
C16orf18	hgnc:26960	WDR90
CCDC95	hgnc:26905	INO80E
ADAM24	hgnc:203	ADAM24P
LOC100419760	hgnc:42862	ZKSCAN8P2
ZNF192P2	hgnc:42862	ZKSCAN8P2
LOC100509833	hgnc:40899	SRGAP3-AS2
SRGAP3-AS2	hgnc:40899	SRGAP3-AS2
DCOH	hgnc:8646	PCBD1
PCBD	hgnc:8646	PCBD1
TTC34	hgnc:34297	TTC34
LOC391205	hgnc:34297	TTC34
LINC00866	hgnc:45232	GOLGA7B-DT
LOC100509786	hgnc:45232	GOLGA7B-DT
LOC126359	hgnc:5398	IFI30
LOC82254	hgnc:16846	WTAP
RPS8_1_552	hgnc:36213	RPS8P8
LOC647576	hgnc:36213	RPS8P8
LOC285586	hgnc:36213	RPS8P8
LOC65447	hgnc:36213	RPS8P8
LOC101060456	ncbigene:100996723	LOC100996723
C13orf38-SOHLH2	hgnc:38866	CCDC169-SOHLH2
DAM6	hgnc:6809	MAGEB2
LOC130031	hgnc:20681	NBEAL1
ALS2CR17	hgnc:20681	NBEAL1
ALS2CR16	hgnc:20681	NBEAL1
LOC653539	hgnc:20681	NBEAL1
LOC653928	hgnc:20681	NBEAL1
MRP63P10	hgnc:23965	MRPL57P10
DFN6	hgnc:11122	SMPX
